"ent","Escolaridad","Salario_trim","Salario_trim_cv"
28,"Básica",7553.68793950275,0.0226148591667292
28,"Especialidad",10679.7006777686,0.140116796857979
28,"Media superior",8922.89329555318,0.0288625286506068
28,"Ninguno",4579.82052341081,0.102474963626236
28,"No sabe",5374.68189233279,0.407356076029334
28,"Universitario",10243.5253214755,0.0465156994651369
29,"Básica",4838.24493219672,0.0257367999071626
29,"Especialidad",10496.8506612785,0.143436786873261
29,"Media superior",5270.63037171153,0.0331429458211448
29,"Ninguno",3504.54246006678,0.13993517031455
29,"No sabe",4901.55052264808,0.12580559167543
29,"Universitario",6495.25082227267,0.0463252888986057
30,"Básica",4790.03782497476,0.0424712457823875
30,"Especialidad",8761.65428642016,0.200036810982992
30,"Media superior",5933.40170021206,0.0430355077629982
30,"Ninguno",4543.9699025974,0.138735280899267
30,"No sabe",5528.13757357463,0.239147998138419
30,"Universitario",6504.43819114204,0.0734157067280248
31,"Básica",6371.97767454339,0.0274457321891506
31,"Especialidad",13254.5887811706,0.107117474745983
31,"Media superior",7093.15365206926,0.0397788379116364
31,"Ninguno",4746.24437880005,0.125557818685658
31,"No sabe",4949.19698314108,0.363544331675596
31,"Universitario",9329.1829493907,0.0450987750421831
32,"Básica",5311.73789944713,0.0387760998926971
32,"Especialidad",11985.5756444534,0.140943230462526
32,"Media superior",5717.10825494206,0.0523929222114432
32,"Ninguno",4188.02274802823,0.126858108829545
32,"No sabe",5137.43747595229,0.318144209606439
32,"Universitario",7426.80505161158,0.0624006992422554
