"ent","Sector","Jornada","Salario_trim","Salario_trim_cv"
"22","Secundario","Más de 48",4958.90164918261,0.0701614077311361
"22","Terciario","Menos de 15",1955.0734677805,0.116792071927401
"22","Terciario","De 15 a 48",3792.70050655136,0.0610843305977214
"22","Terciario","Más de 48",4159.75927343382,0.083071057146695
"23","Primario","Menos de 15",2964.34045174538,0.417122807570415
"23","Primario","De 15 a 48",2093.54664328657,0.150446148831217
"23","Primario","Más de 48",2893.06873977087,0.29578177410343
"23","Secundario","Menos de 15",5166.88930378222,0.57449921371691
"23","Secundario","De 15 a 48",10120.7889547629,0.0505473950056495
"23","Secundario","Más de 48",12815.9574639748,0.113359629595458
"23","Terciario","Menos de 15",3018.67928323277,0.133499946221544
"23","Terciario","De 15 a 48",8061.42546367176,0.0459830310467509
"23","Terciario","Más de 48",9316.82616068946,0.0539762512129715
"24","Primario","Menos de 15",1340.15420432758,0.207264974105182
"24","Primario","De 15 a 48",2594.14417672917,0.105868687499843
"24","Primario","Más de 48",4058.95138858032,0.156666899711382
"24","Secundario","Menos de 15",1884.37144780138,0.235769042095702
"24","Secundario","De 15 a 48",5807.15332488696,0.0447668186414624
"24","Secundario","Más de 48",7154.05669075505,0.0892980001824021
"24","Terciario","Menos de 15",2317.8927306482,0.129583238829663
"24","Terciario","De 15 a 48",4755.80611039581,0.0440131148559545
"24","Terciario","Más de 48",5613.03979027977,0.0694086760348252
"25","Primario","Menos de 15",2913.37955829481,0.242683229937505
"25","Primario","De 15 a 48",6823.50901023767,0.0614762653654866
"25","Primario","Más de 48",9957.96632234933,0.0861951726464846
"25","Secundario","Menos de 15",3811.85943569386,0.168357983443168
"25","Secundario","De 15 a 48",10167.4886138394,0.034737163045635
"25","Secundario","Más de 48",10620.5068960139,0.0709351055573725
"25","Terciario","Menos de 15",4136.48456038647,0.120766879116644
"25","Terciario","De 15 a 48",9247.50662177638,0.0308751877441486
"25","Terciario","Más de 48",10994.2920280569,0.0567657574311665
"26","Primario","Menos de 15",3060.99262769879,0.398989030949507
"26","Primario","De 15 a 48",8613.46060789537,0.0693172862591479
"26","Primario","Más de 48",8053.03461682753,0.105981832010345
"26","Secundario","Menos de 15",3248.6609631837,0.399606185174806
"26","Secundario","De 15 a 48",7704.04354561717,0.0583486898829245
"26","Secundario","Más de 48",10219.0244481367,0.149581954436356
"26","Terciario","Menos de 15",2099.58904942173,0.0920981195354687
